Order_ID,Customer_Name,Age,Gender,City,Category,Product_Name,Quantity,Unit_Price,Discount,Total_Price,Payment_Method,Order_Date,Customer_Rating,Delivery_Days
ORD8401,Luis Wilson,58.0,Female,Chennai,Electronics,Man,5,3732.91,0.35,12131.96,UPI,2023-11-15,3.0,10.0
ORD6834,Jennifer Simpson,41.0,Other,Vadodara,Books,Culture,6,3205.63,0.01,19041.44,UPI,2025-05-01,,12.0
ORD3122,April Moore,,Male,Pune,Clothing,Up,5,2619.52,0.16,11001.98,Debit Card,2023-09-10,1.0,12.0
ORD9788,Vincent Wilkinson,46.0,Other,Chennai,Beauty,Seem,9,3248.54,0.28,21050.54,UPI,2025-01-19,4.0,7.0
ORD1304,Robin Brown,21.0,Female,Bangalore,Home,Crime,8,2055.59,0.29,11675.75,UPI,2024-01-19,2.0,8.0
ORD3531,Steven Lewis,41.0,Other,Bangalore,Books,Feeling,5,3093.01,0.32,10516.23,UPI,2025-02-27,1.0,14.0
ORD3995,Pamela Robinson,58.0,Male,Vadodara,Electronics,Protect,8,3411.69,0.29,19378.4,Cash,2024-01-07,3.0,1.0
ORD8659,Nicole Williamson,63.0,Male,Pune,Beauty,Realize,8,3478.27,0.18,22817.45,Debit Card,2023-11-17,2.0,5.0
ORD9224,Kim Cook,22.0,Female,Chennai,Books,Page,6,3712.41,0.32,15146.63,Cash,2025-03-08,5.0,7.0
ORD5448,Rachel Lopez,47.0,Female,Delhi,Beauty,Need,4,538.72,0.25,1616.16,Credit Card,2024-06-02,4.0,6.0
ORD4620,Christopher Mitchell,,Other,Vadodara,Electronics,Just,1,3413.57,0.2,2730.86,Credit Card,2024-10-22,5.0,9.0
ORD10210,Kristina Chapman,62.0,Female,Bangalore,Books,That,8,673.46,0.38,3340.36,UPI,2023-08-03,2.0,13.0
ORD6022,Kevin Sanchez,19.0,Male,Ahmedabad,Electronics,By,4,3078.07,0.33,8249.23,Cash,2023-04-24,1.0,8.0
ORD8923,Rachel Stone,60.0,Male,Vadodara,Clothing,Whom,3,262.97,0.04,757.35,Debit Card,2023-08-02,3.0,5.0
ORD5475,Ariana Stevens,,Male,Bangalore,Sports,Whether,2,4375.24,0.24,6650.36,UPI,2024-10-09,1.0,13.0
ORD7708,Emily Blake,43.0,Female,Delhi,Home,Offer,1,142.31,0.35,92.5,UPI,2024-01-28,4.0,3.0
ORD1107,Diana Wright,36.0,Female,Delhi,Sports,That,7,3705.93,0.34,17121.4,Credit Card,2024-09-15,5.0,5.0
ORD4319,Alexander Davis,27.0,Other,Vadodara,Home,Far,7,2547.3,0.28,12838.39,UPI,2023-05-16,2.0,7.0
ORD6657,Tyler Williams MD,51.0,Male,Chennai,Beauty,Loss,4,325.96,0.08,1199.53,Debit Card,2024-02-21,4.0,7.0
ORD9790,Lisa Lee,55.0,Male,Bangalore,Clothing,Service,9,3155.64,0.37,17892.48,Net Banking,2024-07-21,1.0,8.0
ORD1799,Patricia Cruz,23.0,Female,Ahmedabad,Sports,Suffer,2,4136.35,0.34,5459.98,Cash,2024-12-13,2.0,5.0
ORD7282,Ralph Garcia,20.0,Male,Pune,Electronics,Pretty,9,3076.86,0.32,18830.38,Debit Card,2025-03-31,2.0,1.0
ORD3516,Diana Curry,63.0,Male,Ahmedabad,Beauty,Fine,5,768.13,0.25,2880.49,Net Banking,2023-03-07,5.0,2.0
ORD1500,Joy Hale,29.0,Other,Mumbai,Home,Newspaper,9,521.56,0.02,4600.16,Debit Card,2024-07-04,2.0,10.0
ORD9793,Jimmy Grant,36.0,Female,Delhi,Clothing,Course,2,3584.19,0.36,4587.76,Debit Card,2023-05-27,5.0,3.0
ORD2921,Cody Barr,18.0,Male,Vadodara,Home,Police,8,2739.63,0.12,19287.0,Cash,2023-03-13,,6.0
ORD5301,Katherine Mccarthy,47.0,Other,Vadodara,Electronics,Me,6,4732.29,0.01,28109.8,Debit Card,2024-02-11,1.0,7.0
ORD10112,Jean Lamb,,Female,Vadodara,Electronics,Role,1,1171.12,0.33,784.65,UPI,2024-02-22,3.0,1.0
